class,angry,disgust,fear,happy,sad,surprise,neutral
sober,8.496807026858733e-05,7.776792130220983e-14,0.00030336505005834624,0.00033957132927753264,0.0003358758249305538,1.31760227728428e-08,99.998939037323
sober,7.165790610564276e-09,3.084231244172497e-17,1.5542088543273908e-07,97.55129203506064,6.229161558152857e-07,0.0018896701693314974,2.446819428909983
sober,2.1061941879452206e-05,3.72394708443327e-18,3.2192081032139663e-10,90.42192101478577,1.196677645864952e-07,1.3414137356448919e-05,9.57804024219513
sober,0.08576461696065962,2.1930290916571948e-07,0.0396409333916381,0.03909517836291343,0.2588593168184161,0.0019845574570354074,99.57465529441833
sober,2.9602320582869362e-05,2.356702225721754e-16,0.00022286723342933965,0.00045887621133525625,0.008510996629208125,2.469814056157574e-07,99.99077916090364
sober,1.3160842090095636e-06,1.8075580088386741e-10,0.0025370356218146904,23.470270542518527,0.015011733361287914,0.001019980360838811,76.51116111941106
sober,0.0010599679980551858,3.2176261343717306e-12,0.00037503386843713014,0.0005019173529829562,0.027682370663009066,9.200887371927101e-07,99.97038244848042
sober,1.8191602738082402e-09,4.354751891789518e-16,1.3128957476737924e-06,0.09195867460221052,0.00016964536371233407,4.3551704465016883e-07,99.90787506103516
sober,0.14998131664469838,2.3249181746454184e-08,2.416202798485756,0.025456331786699593,6.418253481388092,0.0018362658011028543,90.98827242851257
sober,7.327764783848778e-09,1.862212508199784e-27,1.0636441493241475e-16,99.87454414367676,5.408634152527514e-11,6.404415843139222e-11,0.12545802164822817
sober,6.157807064255394e-06,3.480354703435176e-12,0.21819635294377804,0.09842119179666042,0.02111476060235873,1.0544620465680055e-05,99.66225624084473
sober,18.308763206005096,0.0002857852678062045,0.33397763036191463,31.239575147628784,0.4623641725629568,0.0006169094831420807,49.654415249824524
sober,0.00022501889338567542,2.5377521540918783e-14,4.2981696321622577e-07,75.89259003952682,0.00010636886779228928,0.00046773164345109854,24.10661125818558
sober,1.1950703537877416e-05,6.304655220640114e-14,0.00032493392154719913,11.941830813884735,0.010964152170345187,0.0003343850266901427,88.04653286933899
sober,0.02665179067357872,3.674767740560848e-10,0.031634500622384286,70.05250871494465,0.004179779965785255,0.00034145532242984335,29.884685867112033
sober,1.8983339765865963e-05,5.973225040055089e-19,0.0002828354295487795,3.070541692960451e-06,0.0014672714279723553,1.1600634339586151e-10,99.99822974194466
sober,13.828222453594208,0.2981506288051605,58.93586874008179,2.8537655249238014,15.763691067695618,0.09322745027020574,8.22707712650299
sober,6.915616950209369e-05,1.3339566114634047e-18,4.487248350670825e-08,3.7294037724677764e-05,0.0829012249596417,1.2643684710322844e-09,99.91699457168579
sober,99.0845263004303,1.2113439591676656e-10,0.0022604908735956997,0.014237112191040069,0.777799729257822,2.7069796404433077e-08,0.12117896694689989
sober,8.536622999599786e-05,2.162219310390158e-13,9.483787977160318e-06,63.396406173706055,0.0008781424185144715,0.00013589726677309955,36.602482199668884
